"MNET_SHORTNAME","NWSFIREZONE","ELEV_DEM","UNITS","TIMEZONE","SGID","SHORTNAME","ELEVATION","STID","WIMS_ID","GACC","MNET_LONGNAME","STATUS","PERIOD_OF_RECORD","LONGITUDE","COUNTY","STATE","CWA","NWSZONE","ID","MNET_ID","NAME","PROVIDERS","COUNTRY","SENSOR_VARIABLES","RESTRICTED","LATITUDE"
"PGE","MTR518","1200.8","[object Object]","America/Los_Angeles","SC06","PGE","1193","318PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-120.66643","Monterey","CA","MTR","CA518","166269","229","Indian Valley Road Central","[object Object]","US","[object Object]","false","35.94429"
"PGE","LOX353","1020.3","[object Object]","America/Los_Angeles","SC09","PGE","1028","325PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-120.19794","Santa Barbara","CA","LOX","CA353","166270","229","Buckhorn Ridge","[object Object]","US","[object Object]","false","35.02529"
"PGE","STO216","68.9","[object Object]","America/Los_Angeles","NC05","PGE","71","181PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.56145","Yuba","CA","STO","CA016","166276","229","Marysville IDSM","[object Object]","US","[object Object]","false","39.16446"
"PGE","MTR518","1525.6","[object Object]","America/Los_Angeles","SC06","PGE","1520","319PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-120.43779","Monterey","CA","MTR","CA518","166277","229","Parkfield Coalinga Road","[object Object]","US","[object Object]","false","35.89751"
"PGE","STO266","2913.4","[object Object]","America/Los_Angeles","NC07","PGE","2915","326PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.88433","Shasta","CA","STO","CA066","166288","229","Wilson Hill Road North","[object Object]","US","[object Object]","false","40.46856"
"PGE","STO266","1469.8","[object Object]","America/Los_Angeles","NC07","PGE","1460","327PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.03783","Shasta","CA","STO","CA066","166463","229","Oak Run Road North","[object Object]","US","[object Object]","false","40.70009"
"PGE","STO217","636.5","[object Object]","America/Los_Angeles","NC05","PGE","643","321PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-120.91123","Amador","CA","STO","CA017","166473","229","Old Sacramento Road","[object Object]","US","[object Object]","false","38.48572"
"PGE","MTR506","905.5","[object Object]","America/Los_Angeles","NC02","PGE","908","315PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.84105","Sonoma","CA","MTR","CA506","166505","229","St. George Road","[object Object]","US","[object Object]","false","38.71426"
"PGE","STO267","1817.6","[object Object]","America/Los_Angeles","NC07","PGE","1817","332PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-120.83611","El Dorado","CA","STO","CA067","166514","229","Caswell Road","[object Object]","US","[object Object]","false","38.74480"
"PGE","MTR503","1712.6","[object Object]","America/Los_Angeles","NC02","PGE","1720","189PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-123.11847","Sonoma","CA","MTR","CA503","166572","229","Upper Lake Sonoma","[object Object]","US","[object Object]","false","38.74692"
"PGE","MTR508","879.3","[object Object]","America/Los_Angeles","NC03A","PGE","894","169PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.08113","Alameda","CA","MTR","CA508","166573","229","Rifle Range Road","[object Object]","US","[object Object]","false","37.75906"
"PGE","MTR506","344.5","[object Object]","America/Los_Angeles","NC02","PGE","349","250PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.66656","Sonoma","CA","MTR","CA506","166587","229","Harville Road","[object Object]","US","[object Object]","false","38.48943"
"PGE","MTR515","623.4","[object Object]","America/Los_Angeles","NC03A","PGE","631","170PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.02337","Alameda","CA","MTR","CA515","166591","229","Crow Canyon Rd","[object Object]","US","[object Object]","false","37.76543"
"PGE","MTR508","3.3","[object Object]","America/Los_Angeles","NC03A","PGE","15","261PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.98690","Alameda","CA","MTR","CA508","166592","229","Newark EMS","[object Object]","US","[object Object]","false","37.50600"
"PGE","MTR509","334.6","[object Object]","America/Los_Angeles","NC03A","PGE","338","330PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.21055","Santa Cruz","CA","MTR","CA509","166593","229","Swanton Road","[object Object]","US","[object Object]","false","37.03648"
"PGE","STO217","85.3","[object Object]","America/Los_Angeles","NC05","PGE","82","PG751","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.91659","Solano","CA","STO","CA017","166618","229","Vaca-Dixon IDSM","[object Object]","US","[object Object]","false","38.40365"
"PGE","EKA264","1860.2","[object Object]","America/Los_Angeles","NC02","PGE","1855","167PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.69087","Lake","CA","EKA","CA115","166619","229","High Valley","[object Object]","US","[object Object]","false","39.06905"
"PGE","STO267","2621.4","[object Object]","America/Los_Angeles","NC07","PGE","2618","PG906","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-120.86296","Placer","CA","STO","CA067","166626","229","Yankee Jims Road","[object Object]","US","[object Object]","false","39.03122"
"PGE","EKA264","1984.9","[object Object]","America/Los_Angeles","NC02","PGE","1982","247PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.50653","Lake","CA","EKA","CA115","166627","229","Flintlock Place","[object Object]","US","[object Object]","false","39.01859"
"PGE","STO220","2988.8","[object Object]","America/Los_Angeles","SC04","PGE","2984","323PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-120.38492","Calaveras","CA","STO","CA067","166628","229","Camp Nine Road","[object Object]","US","[object Object]","false","38.15702"
"PGE","HNX590","1650.3","[object Object]","America/Los_Angeles","SC04","PGE","1640","259PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-120.15378","Mariposa","CA","HNX","CA317","166652","229","Bagby","[object Object]","US","[object Object]","false","37.63347"
"PGE","STO217","2883.9","[object Object]","America/Los_Angeles","NC05","PGE","2909","324PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.19134","Yolo","CA","STO","CA017","166653","229","Berryessa Peak","[object Object]","US","[object Object]","false","38.66613"
"PGE","STO267","2897","[object Object]","America/Los_Angeles","NC07","PGE","2898","240PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-120.66758","El Dorado","CA","STO","CA067","166676","229","Mine Road","[object Object]","US","[object Object]","false","38.56751"
"PGE","MTR506","275.6","[object Object]","America/Los_Angeles","NC02","PGE","284","257PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.84551","Sonoma","CA","MTR","CA506","166677","229","Passalaqua Road","[object Object]","US","[object Object]","false","38.65130"
"PGE","STO215","459.3","[object Object]","America/Los_Angeles","NC05","PGE","444","251PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.27095","Shasta","CA","STO","CA015","166708","229","Cottonwood EMS","[object Object]","US","[object Object]","false","40.39668"
"PGE","STO215","577.4","[object Object]","America/Los_Angeles","NC05","PGE","566","260PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.39131","Tehama","CA","STO","CA015","166726","229","Dibble Creek Road","[object Object]","US","[object Object]","false","40.22049"
"PGE","STO267","1197.5","[object Object]","America/Los_Angeles","NC05","PGE","1193","248PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-120.96052","El Dorado","CA","STO","CA067","166741","229","Shingle Road","[object Object]","US","[object Object]","false","38.59553"
"PGE","MTR529","272.3","[object Object]","America/Los_Angeles","NC03A","PGE","277","258PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.70182","Santa Cruz","CA","MTR","CA529","166903","229","Peckham Road","[object Object]","US","[object Object]","false","36.95146"
"PGE","MTR513","534.8","[object Object]","America/Los_Angeles","NC03A","PGE","547","252PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.67349","Santa Clara","CA","MTR","CA513","166922","229","Kirby Canyon","[object Object]","US","[object Object]","false","37.17736"
"PGE","HNX579","308.4","[object Object]","America/Los_Angeles","SC06","PGE","305","241PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.01686","Merced","CA","HNX","CA300","166924","229","Los Banos EMS","[object Object]","US","[object Object]","false","37.05508"
"PGE","MTR512","1082.7","[object Object]","America/Los_Angeles","NC03A","PGE","1093","255PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.68195","Santa Clara","CA","MTR","CA512","166926","229","Uvas Hill","[object Object]","US","[object Object]","false","37.07418"
"PGE","STO220","2365.5","[object Object]","America/Los_Angeles","SC04","PGE","2368","256PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-120.25409","Tuolumne","CA","STO","CA067","166967","229","Apple Colony Road","[object Object]","US","[object Object]","false","37.92109"
"PGE","MTR504","833.3","[object Object]","America/Los_Angeles","NC02","PGE","844","338PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.24140","Napa","CA","MTR","CA504","166979","229","Little Sugarloaf","[object Object]","US","[object Object]","false","38.54387"
"PGE","MTR504","971.1","[object Object]","America/Los_Angeles","NC02","PGE","974","320PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.31115","Napa","CA","MTR","CA504","166981","229","Lower Chiles Valley Road","[object Object]","US","[object Object]","false","38.51738"
"PGE","LOX342","1505.9","[object Object]","America/Los_Angeles","SC07","PGE","1501","253PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-120.85580","San Luis Obispo","CA","LOX","CA342","167058","229","Starr Ranch","[object Object]","US","[object Object]","false","35.66897"
"PGE","MTR504","1374.7","[object Object]","America/Los_Angeles","NC02","PGE","1380","317PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.33697","Napa","CA","MTR","CA504","167059","229","Sage Canyon Road","[object Object]","US","[object Object]","false","38.46358"
"PGE","STO216","1384.5","[object Object]","America/Los_Angeles","NC05","PGE","1380","254PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.72539","Butte","CA","STO","CA016","167086","229","Lower Deer Creek Highway","[object Object]","US","[object Object]","false","39.78649"
"PGE","MTR509","259.2","[object Object]","America/Los_Angeles","NC03A","PGE","268","336PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.40420","San Mateo","CA","MTR","CA509","167087","229","Purisima Road","[object Object]","US","[object Object]","false","37.44704"
"PGE","MTR510","390.4","[object Object]","America/Los_Angeles","NC03B","PGE","395","322PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.99701","Contra Costa","CA","MTR","CA510","167089","229","Lakewood Meadow","[object Object]","US","[object Object]","false","37.92866"
"PGE","MTR518","918.6","[object Object]","America/Los_Angeles","SC06","PGE","928","242PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-120.90576","Monterey","CA","MTR","CA518","167176","229","Highway 198 West","[object Object]","US","[object Object]","false","36.15909"
"PGE","EKA211","331.4","[object Object]","America/Los_Angeles","NC04","PGE","338","328PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-123.67325","Humboldt","CA","EKA","CA105","167177","229","Hoopa","[object Object]","US","[object Object]","false","41.04699"
"PGE","MTR510","311.7","[object Object]","America/Los_Angeles","NC03B","PGE","315","080PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.72454","Contra Costa","CA","MTR","CA510","167178","229","Byron Hills","[object Object]","US","[object Object]","false","37.84102"
"PGE","EKA264","990.8","[object Object]","America/Los_Angeles","NC02","PGE","991","402PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.51491","Lake","CA","EKA","CA115","167537","229","Butts Canyon Rd","[object Object]","US","[object Object]","false","38.73615"
